Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,RR.L,RR.L,RR.L,RR.L,RR.L,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-07,10217.291015625,10367.230806519268,10171.29420737302,10359.28116283764,821187,893.5693969726562,895.8690486198932,888.8700716775503,891.6696502492402,17323618,2552.509765625,2585.5034288704464,2541.2218945081495,2584.0037169047446,8324601,4807.4169921875,4836.287313738612,4799.932003601308,4818.109414573019,1484812,969.7598876953125,982.461388848534,962.9601810739028,965.7600530906441,20386921.0,3561.9443359375,3572.9410768006246,3531.953224492615,3531.953224492615,6148681
2025-07-08,10339.2822265625,10385.279033373126,10147.295554657278,10217.290695456057,1762578,899.2685546875,901.8681502222144,895.1691173889311,897.7687739498799,13258641,2603.5,2607.4992319508447,2550.01027265745,2550.01027265745,8254358,4795.65478515625,4799.931851613803,4752.884120580722,4790.308574132776,2034706,966.3600463867188,977.2595588560399,959.3603359626545,974.159711509864,14703561.0,3526.954833984375,3581.9385402964895,3506.9607589617876,3556.9459465182554,3896932
2025-07-09,10361.28125,10375.280278903687,10237.289851138776,10269.287631490059,2459821,905.9675903320312,909.9670059141636,899.6685229954205,900.168449943187,15706147,2626.49560546875,2639.493109416635,2613.9980055188607,2615.9976215108427,7608923,4752.88427734375,4801.001154529778,4743.26099954532,4789.2395875289785,1733793,984.3593139648438,987.5591328008325,970.9598437167706,971.1598476521779,14346514.0,3597.93359375,3657.9397340659534,3546.948705369547,3550.9475201444843,6835411
2025-07-10,10625.2626953125,10677.259087196206,10459.274213529903,10489.272131924348,1490017,919.8655395507812,919.8655395507812,906.5674955864356,911.0668378994557,12701478,2657.489501953125,2667.487581343468,2624.289824852556,2634.9938233248536,7161468,4841.63330078125,4841.870562996517,4768.923172066738,4777.47730485668,2540798,975.3596801757812,989.9590518813833,973.5597058008007,988.9590932431192,17511991.0,3705.901611328125,3711.899833520725,3618.927389535423,3629.9241302218566,6970493
2025-07-11,10449.275390625,10613.264018764952,10423.27719348086,10611.264157446172,1745919,910.366943359375,920.8654089335358,905.1676910602574,917.4658813847414,12557833,2671.487060546875,2672.9867725943377,2647.491667787472,2648.991379834935,6735708,4792.44677734375,4858.7415503441935,4784.962277322617,4840.5636520800945,2049584,987.9591064453125,990.159027593316,975.159648446879,975.559595271206,17886774.0,3786.877685546875,3786.877685546875,3721.896943846625,3738.8919070605366,14385853
2025-07-14,10661.2607421875,10761.25380861207,10483.273083951768,10553.268230448966,1212374,922.8651123046875,925.0648030008019,910.9158700588094,916.3660622180348,12621910,2635.99365234375,2676.4858741984517,2632.494324529146,2667.9875066486998,5037521,4856.60302734375,4857.672171946483,4792.4470282715265,4803.139938880506,1699750,998.3587036132812,999.3586622262623,980.5593914761153,985.9591923992648,9055126.0,3848.859375,3848.859375,3758.886038961039,3786.8777435064935,4585839
2025-07-15,10495.271484375,10713.256353238734,10481.272456099347,10661.259962500595,1440667,919.465576171875,930.0640635990271,918.2658003727041,924.4648454225403,14421861,2620.99658203125,2636.993509482137,2614.9977342371676,2624.995813893972,7935201,4777.47705078125,4844.840476774138,4777.47705078125,4844.840476774138,2917877,990.3590698242188,999.8466535557891,985.1592726458243,998.3587390117079,9296274.0,3816.86865234375,3833.863614913117,3804.8722081771375,3818.868059704852,10195810
2025-07-16,10435.2763671875,10527.269987902453,10319.284410633863,10451.275257746624,1465976,918.2658081054688,929.1641785479534,918.2658081054688,928.3643076663584,13538376,2607.499267578125,2640.992835624086,2603.500035572637,2616.497539590473,4324491,4763.5771484375,4806.347814069065,4763.5771484375,4790.308692408758,2478208,988.359130859375,999.7586225820547,987.3591722328612,989.7590363169159,6815803.0,3871.8525390625,3874.8516502469015,3828.5662950938167,3831.864389937145,4558317
2025-07-17,10311.2841796875,10481.272378925947,10299.285012682432,10393.278487555457,1296345,932.5636596679688,934.5633672855579,925.1647170723953,929.3641152745793,13462228,2608.498779296875,2621.996185782313,2600.5003161943932,2617.9969542310723,4611850,4738.9833984375,4774.269071847796,4735.775476801884,4761.437873499159,3304184,1009.9581909179688,1009.9581909179688,985.1592297237366,988.3591094658443,14094994.0,3811.870361328125,3902.843401685025,3811.870361328125,3863.8549558177824,3284071
2025-07-18,10293.2861328125,10351.282110634836,10233.290293685946,10293.2861328125,1470444,932.8636474609375,933.9634622918225,926.764563351055,932.1637375566305,18707419,2619.496826171875,2646.9915447671906,2619.496826171875,2633.994041431223,5753357,4747.5380859375,4776.408407647036,4716.529475016679,4767.854274414128,2350802,1004.9584350585938,1012.6731428348195,995.9588072819496,1004.458455737669,19732187.0,3810.87060546875,3825.8661613664494,3780.8794936733507,3810.87060546875,2519592
2025-07-21,10231.2900390625,10279.286708518619,10177.293785924367,10265.28767992725,2460332,942.3622436523438,942.3622436523438,928.9641777936359,932.0637613115758,20417553,2612.498291015625,2630.9908334237152,2596.001459097616,2619.9968509783566,10499560,4728.291015625,4746.4684247179985,4698.351552568484,4730.42930460355,1957425,999.9586181640625,1011.4581422729492,993.1589117670729,998.7586556157395,29086199.0,3834.863525390625,3845.860266469691,3789.6069178061325,3820.8676731081773,4101183
2025-07-22,10351.2822265625,10437.276263606971,10197.292904413096,10215.291656352636,2054805,943.7620849609375,947.2615734787112,939.0627596032513,941.1624283034207,16914346,2618.4970703125,2634.4939978134544,2598.500910936307,2598.500910936307,5124328,4756.091796875,4783.892483316576,4707.974923760679,4707.974923760679,2711283,983.1593627929688,1005.9584079434101,968.1599829528582,996.9587800393438,23375842.0,3851.8583984375,3913.8400285187677,3813.8696574199485,3846.8598798825587,3380261
2025-07-23,10673.259765625,10683.25907213205,10465.274190278364,10485.272803292462,1968248,948.0614624023438,949.7612262057089,936.8621103073393,940.8625022521277,16338862,2652.990478515625,2654.9900944783276,2631.4946069165726,2631.4946069165726,4288010,4752.88427734375,4787.100810132727,4741.120269373541,4780.685454331735,1898621,983.359375,989.1591230470876,975.5596485914466,987.5591525644417,11832226.0,3844.860595703125,3856.8570406195154,3789.876889836336,3850.8588181613204,1949172
2025-07-24,10905.2431640625,10999.23664081125,10734.78819695075,10769.252601957924,1827824,960.7595825195312,968.4634124439261,954.3404769061074,957.2600940676823,13057823,2661.98876953125,2682.984737290933,2642.4925137544014,2666.4879054797534,5222486,4807.4169921875,4814.901980773692,4747.538059885723,4772.131314843852,1723223,985.5592041015625,1005.9583846242925,982.3593853026201,989.5590386328718,17480815.0,3911.8408203125,3911.8408203125,3803.8728140273606,3826.866000551048,2649048
2025-07-25,10801.2509765625,10909.243487714948,10765.253472845017,10863.246677409275,6844997,958.2599487304688,960.4355950562142,952.1608036648611,957.0601119121332,10304104,2666.98779296875,2676.985872792438,2645.491921347821,2672.9866408629628,5301385,4775.3388671875,4815.971244926458,4745.399888487279,4813.832467479932,2989625,977.1596069335938,989.3591146944287,974.3597349145413,987.3591973904437,33353364.0,3898.844482421875,3914.839741836939,3871.8524821589544,3907.8418158428485,1725585
2025-07-28,10789.2509765625,11003.236121046688,10698.62738512223,10959.239175451808,5723914,959.6597290039062,963.959088425247,955.1603866039884,958.4598921586808,12621272,2686.484130859375,2686.9840348658618,2651.9907544117946,2679.985378775048,10452144,4734.70654296875,4790.449492975453,4722.944488577415,4787.100483174907,2415675,981.3594360351562,993.158935808598,970.1598870340837,977.9595522380448,48615866.0,3867.853759765625,3887.8478345124104,3844.860573806822,3874.851685927,2146002
2025-07-29,11157.2255859375,11227.22072763096,10743.254319350466,10999.236551829405,5839192,969.8582153320312,978.6469085303894,958.95978417193,959.0598061706947,18609371,2696.482177734375,2720.477569749809,2677.4858257221567,2689.4835217298732,7328692,4738.9833984375,4759.299584537966,4710.113080104609,4711.182712779032,2775948,1005.9583740234375,1008.1473093254651,981.3594163281632,982.7593217797904,25352691.0,3932.83447265625,3937.832991304771,3851.858470550211,3873.8519526037035,5624929
2025-07-30,11497.2021484375,11497.77730383693,11061.232402680085,11061.232402680085,4702408,925.8646850585938,949.3612510401024,920.3654887650492,921.8652695723796,36229610,2678.485595703125,2720.9774351273068,2674.9862677505453,2719.47772314763,5476305,4766.7841796875,4784.962077191307,4721.875228663593,4730.4293610675595,3546056,987.9591064453125,1003.4584648966307,987.9591064453125,995.9587753234123,15746222.0,3986.818359375,3987.017275028387,3912.8402855049526,3948.8296187390297,4101828
2025-07-31,11323.2138671875,11553.197900166406,11247.219143246644,11513.200677039638,2856741,922.6651611328125,932.0718065837106,918.065857631133,921.8652902228994,19221044,2710.4794921875,2772.467588283267,2686.4841001504287,2719.9776682021743,8370693,4713.3212890625,4835.217436708385,4689.797668086254,4790.308483847434,5259484,1071.9556884765625,1108.454179735326,1047.456701193283,1052.956473848713,53131402.0,4038.80322265625,4092.787226127398,3859.856248187075,3920.8381780341124,8646997
2025-08-01,11103.2294921875,11161.225467560958,10845.247394836602,11089.230463649079,2265511,917.765869140625,930.1330188806224,908.6671625313721,920.1654817539415,20515990,2706.47998046875,2735.4744095169926,2688.9833422499823,2707.979692316073,5167404,4844.8408203125,4856.602875155632,4726.152591893553,4772.131178502984,2370272,1064.9559326171875,1079.6313507458135,1037.457070507354,1076.9554360832967,16590695.0,4129.77587890625,4147.770545045275,4044.801066583076,4067.794251094053,4828504
2025-08-04,11135.2275390625,11135.784141075508,10933.241551015568,11107.22948131342,2619721,924.06494140625,929.764120562856,920.0655260017878,922.2652166794892,24997049,2681.485107421875,2714.4787720545824,2668.4876031726267,2695.9823236998827,13027226,4807.4169921875,4859.810935903084,4795.654937008323,4856.603013909876,4355022,1089.9549560546875,1093.9547907558056,1061.9561131468606,1065.955947847979,64270332.0,4182.76025390625,4200.754920390551,4075.7919586940207,4100.784551033326,4813515
