Ticker,Return_5d,Return_1mo,Return_3mo,Return_1y,Return_3y,Volatility_5d,Volatility_1mo,Volatility_3mo,Volatility_1y,Volatility_3y,Market-Cap,PE-Ratio
AAF.L,-1.2213063969768816,12.916512011387098,60.329010056575896,190.1913684199643,208.6160134124031,0.13650735005880443,0.24256098878705787,0.3770660396642202,0.3364153705502581,0.3016241050754023,1311791222469.5054,3597.9998779296875
AAL.L,4.725415070242656,12.060129825760164,27.32919254658385,35.94085776158907,-8.860444862688402,0.24374065975958314,0.28158378622111235,0.28462986563395953,0.36111470166593335,0.3827888959343813,3496340035188.0,
ABF.L,0.7297297297297297,-11.87374578860333,-5.769961750700192,-5.281758653689607,1.8724268370035646,0.1643317189003939,0.4768883128775406,0.30782135703581825,0.3086218922326849,0.24739664802059688,1318228985480.5,1312.323943661972
ADM.L,-1.2450851900393185,-3.5211267605633805,-8.666666666666668,14.679761625087236,41.6566283930952,0.2450220498924921,0.16496699365653367,0.17082688325492207,0.19201242937323607,0.21796082876313036,898499457090.0,1105.1470588235293
AHT.L,-2.4070021881838075,14.24474915790471,-0.365481533988001,3.2587823788972883,4.583952102938836,0.3427712261827242,0.28703239975797806,0.24842913518166024,0.2863539691311174,0.30558657193543365,2225066402356.0,2173.9837398373984
ALW.L,0.3822951633742272,2.1184669350678065,4.422701735485958,0.8723714319542984,30.76785108280074,0.04907159228913019,0.07281194299911316,0.10309639960872571,0.15061803188020495,0.13957485293465505,496995387200.0,
ANTO.L,7.164268585131895,22.979016167870657,56.52364273204904,105.73102640860183,98.7867022567338,0.24650441954656147,0.33640217035836084,0.37333559679247186,0.3762518472804594,0.35357392116131997,3532324538185.0,4316.8674698795185
AUTO.L,1.6789151497095918,-6.5513247948563125,-25.36101421772502,-26.94871640314038,2.6180278963863284,0.4111272886492298,0.2378605425595214,0.23890191474850908,0.23935937593586434,0.22892204532543142,492335866814.04803,1769.0908720999053
AV.L,-1.7955348707311403,6.234333689053043,2.8822815000241198,38.02198525641961,54.1175104808122,0.11834436373272784,0.13804572830861092,0.18211110765760669,0.2062657749170316,0.19842728572301785,2062158702461.9668,3083.636474609375
AZN.L,0.6913092550790068,4.235431575872645,25.806451612903224,31.658423627252002,23.363778915094784,0.23370468212302695,0.2054577988259791,0.25242534673175454,0.2607547293929391,0.23605672093797156,22091540259750.0,3173.719376391982
BA.L,0.7909045971329708,24.064496501369028,2.1361004031576822,68.19698661995459,143.66085989946347,0.2826136388775921,0.2863601949165264,0.2645067692541854,0.33222948893809484,0.25590262429382943,5964690466924.0,3144.6153846153843
BARC.L,-0.7220961237576852,11.041884257429919,28.371349705713193,70.26006834606329,164.56130083668893,0.2415495007610754,0.1727216537633881,0.23831444118965103,0.31443391321946335,0.30207051213235125,6641670169468.8545,1171.219541968369
BATS.L,7.406483790523691,-0.7919448881128862,5.311079926350478,48.053378020909705,40.611300459124536,0.08186245576841086,0.2127028767858768,0.19849401505329228,0.2253845431121195,0.20324326880953414,9358795865740.0,3100.719424460432
BEZ.L,-0.182370820668693,6.762028608582575,0.06093845216331505,0.14983091532066525,29.483924613360752,0.17660975484547187,0.1643366714673495,0.2557168745540615,0.2888973419549163,0.27438179291962783,484109884280.0,733.4821428571428
BKG.L,-2.138239681750373,7.01468189233279,7.835616438356165,8.439707367569296,-12.855312905842355,0.2377858644488853,0.2421561016304209,0.24902319262222536,0.24243838660577238,0.2265411383678345,374957643402.0,1071.195652173913
BLND.L,-2.3635034444678147,-3.4964561202994857,21.685937718745585,13.354701383222858,-7.022362509155143,0.31987351407879777,0.24362295678647594,0.22725309228424492,0.24051548261860173,0.2677497392434534,406337941087.8163,903.111097547743
BNZL.L,1.1730205278592376,-3.8104089219330852,-15.846075115540534,-38.95510643826382,-29.87398901568248,0.2430605008279116,0.1808003970708585,0.18380848780751782,0.36753672056955716,0.25208887953748216,667139726610.0,1427.5862068965519
BP.L,4.114039782176516,-6.734913793103449,2.6097022807805006,0.9786856234132569,-10.855393561153127,0.16074315858340493,0.22452758010294288,0.2132214860036835,0.2747679548871675,0.25301544518370866,6669662104990.828,5403.749847412109
BT-A.L,-0.05466968182797347,3.4366314072101147,-7.89711245457506,30.0667738687837,43.044779833376445,0.19135852726786817,0.1805575169412639,0.1732070144356334,0.2479085756641493,0.279197179074098,1779632367316.834,1826.9999694824219
BTRW.L,-1.1870218748483077,0.1336541010003745,2.3256254025850307,-11.653549053615944,-18.707444383486454,0.2089806809426509,0.26748671819031794,0.26887604918016705,0.277799260681606,0.27303455450207526,529968054980.4388,2887.3077392578125
CCH.L,0.10209290454313426,6.0,9.005002779321845,42.03571433623762,104.56415401239023,0.23021856301758678,0.21912105473674243,0.2058023477526943,0.23638004125346035,0.1996094902785798,1425677964190.0,1799.0825688073394
CNA.L,2.857144583738508,6.9411782657398895,11.306803680218174,35.006498517295576,85.93824689910316,0.2914183681752729,0.18784443978056914,0.18944273488907454,0.24332169843036452,0.2476796242088401,821794031448.25,
CPG.L,-3.8020906316254677,-2.60323240794433,-11.743662332362103,-15.204845533455517,17.956405418462754,0.2043516712648423,0.15140124004465222,0.15999135696838654,0.2098972846692033,0.1752013642320135,3849482466952.0,2760.9756097560976
CRDA.L,4.143126177024483,3.287261860291371,8.176838810641627,-13.664710241437453,-60.86906887964878,0.14191886707200552,0.194053048928379,0.25844729836421065,0.28476743149369216,0.2861960139535124,386387356544.0,1797.4025974025974
